RUTA;DISTRIBUIDORA;GRUPO;DIVISION;PAIS;CANAL;TIPO ZONA
1.1.01;Bocadeli Quezaltepeque;GRUPO 09;SV Centro;El Salvador;Detalle;Contorno
1.1.02;Bocadeli Quezaltepeque;GRUPO 09;SV Centro;El Salvador;Detalle;Contorno
1.1.03;Bocadeli Quezaltepeque;GRUPO 10 ;SV Centro;El Salvador;Detalle;Contorno
1.1.04;Bocadeli Quezaltepeque;GRUPO 09;SV Centro;El Salvador;Detalle;Rural
1.1.05;Bocadeli Quezaltepeque;GRUPO 09;SV Centro;El Salvador;Detalle;Urbano
1.1.06;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Rural
1.1.07;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Rural
1.1.08;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Rural
1.1.09;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.10;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Contorno
1.1.11;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.12;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.13;Bocadeli Soyapango;GRUPO 05;SV Centro;El Salvador;Detalle;Contorno
1.1.14;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.15;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.16;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Urbano
1.1.17;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Contorno
1.1.18;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Urbano
1.1.19;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Urbano
1.1.20;Bocadeli Soyapango;GRUPO 05;SV Centro;El Salvador;Detalle;Urbano
1.1.21;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.22;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Urbano
1.1.23;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Urbano
1.1.24;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Contorno
1.1.25;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Contorno
1.1.26;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Urbano
1.1.27;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Rural
1.1.28;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Contorno
1.1.29;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Contorno
1.1.30;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Urbano
1.1.31;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Urbano
1.1.32;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Rural
1.1.33;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Rural
1.1.34;Bocadeli Soyapango;GRUPO 05;SV Centro;El Salvador;Detalle;Urbano
1.1.35;Bocadeli Quezaltepeque;GRUPO 05;SV Centro;El Salvador;Detalle;Urbano
1.1.36;Bocadeli Quezaltepeque;GRUPO 10 ;SV Centro;El Salvador;Detalle;Urbano
1.1.37;Bocadeli Quezaltepeque;GRUPO 05;SV Centro;El Salvador;Detalle;Contorno
1.1.38;Bocadeli Quezaltepeque;GRUPO 05;SV Centro;El Salvador;Detalle;Urbano
1.1.39;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Rural
1.1.40;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Rural
1.1.41;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Rural
1.1.42;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Rural
1.1.43;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.44;Bocadeli Quezaltepeque;GRUPO 05;SV Centro;El Salvador;Detalle;Contorno
1.1.45;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Rural
1.1.46;Bocadeli Quezaltepeque;GRUPO 09;SV Centro;El Salvador;Detalle;Contorno
1.1.47;Bocadeli Soyapango;GRUPO 05;SV Centro;El Salvador;Detalle;Rural
1.1.48;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Contorno
1.1.49;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Urbano
1.1.50;Bocadeli Quezaltepeque;GRUPO 09;SV Centro;El Salvador;Detalle;Contorno
1.1.51;Bocadeli Quezaltepeque;GRUPO 05;SV Centro;El Salvador;Detalle;Contorno
1.1.52;Bocadeli Soyapango;GRUPO 03;SV Centro;El Salvador;Detalle;Urbano
1.1.53;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Contorno
1.1.54;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Foraneo
1.1.55;Bocadeli Soyapango;GRUPO 02;SV Centro;El Salvador;Detalle;Foraneo
1.2.01;Bocadeli Quezaltepeque;GRUPO 10 ;SV Centro;El Salvador;Detalle;Rural
1.2.03;Bocadeli Quezaltepeque;GRUPO 10 ;SV Centro;El Salvador;Detalle;Foraneo
1.2.04;Bocadeli Chalatenango;GRUPO 08;SV Centro;El Salvador;Detalle;Rural
1.2.05;Bocadeli Chalatenango;GRUPO 08;SV Centro;El Salvador;Detalle;Rural
1.2.06;Bocadeli Ilobasco;GRUPO 06;SV Centro;El Salvador;Detalle;Rural
1.2.07;Bocadeli Ilobasco;GRUPO 06;SV Centro;El Salvador;Detalle;Rural
1.2.08;Bocadeli Soyapango;GRUPO 07;SV Centro;El Salvador;Detalle;Foraneo
1.2.09;Bocadeli Ilobasco;GRUPO 06;SV Centro;El Salvador;Detalle;Rural
1.2.10;Bocadeli Soyapango;GRUPO 07;SV Centro;El Salvador;Detalle;Foraneo
1.2.11;Bocadeli Chalatenango;GRUPO 05;SV Centro;El Salvador;Detalle;Foraneo
1.2.15;Bocadeli Chalatenango;GRUPO 10 ;SV Centro;El Salvador;Detalle;Rural
1.2.16;Bocadeli Ilobasco;GRUPO 06;SV Centro;El Salvador;Detalle;Rural
1.2.17;Bocadeli Chalatenango;GRUPO 08;SV Centro;El Salvador;Detalle;Rural
1.2.18;Bocadeli Soyapango;GRUPO 07;SV Centro;El Salvador;Detalle;Foraneo
1.2.19;Bocadeli Ilobasco;GRUPO 07;SV Centro;El Salvador;Detalle;Foraneo
1.2.20;Bocadeli Chalatenango;GRUPO 08;SV Centro;El Salvador;Detalle;Foraneo
1.2.21;Bocadeli Ilobasco;GRUPO 06;SV Centro;El Salvador;Detalle;Rural
1.2.22;Bocadeli Chalatenango;GRUPO 08;SV Centro;El Salvador;Detalle;Foraneo
1.2.23;Bocadeli Quezaltepeque;GRUPO 10 ;SV Centro;El Salvador;Detalle;Foraneo
1.2.25;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Foraneo
1.2.26;Bocadeli Ilobasco;GRUPO 06;SV Centro;El Salvador;Detalle;Foraneo
1.2.27;Bocadeli Chalatenango;GRUPO 08;SV Centro;El Salvador;Detalle;Rural
1.2.28;Bocadeli Quezaltepeque;GRUPO 09;SV Centro;El Salvador;Detalle;Contorno
1.2.29;Bocadeli Chalatenango;GRUPO 10 ;SV Centro;El Salvador;Detalle;Rural
1.2.30;Bocadeli Chalatenango;GRUPO 10 ;SV Centro;El Salvador;Detalle;Foraneo
1.2.31;Bocadeli Soyapango;GRUPO 04;SV Centro;El Salvador;Detalle;Foraneo
1.2.32;Bocadeli Ilobasco;GRUPO 07;SV Centro;El Salvador;Detalle;Foraneo
1.2.33;Bocadeli Soyapango;GRUPO 07;SV Centro;El Salvador;Detalle;Foraneo
1.2.34;Bocadeli Ilobasco;GRUPO 06;SV Centro;El Salvador;Detalle;Rural
1.2.35;Bocadeli Chalatenango;GRUPO 08;SV Centro;El Salvador;Detalle;Foraneo
1.2.36;Bocadeli Chalatenango;GRUPO 08;SV Centro;El Salvador;Detalle;Foraneo
1.2.37;Bocadeli Chalatenango;GRUPO 08;SV Centro;El Salvador;Detalle;Foraneo
1.2.38;Bocadeli Quezaltepeque;GRUPO 09;SV Centro;El Salvador;Detalle;Rural
1.2.39;Bocadeli Quezaltepeque;GRUPO 10 ;SV Centro;El Salvador;Detalle;Foraneo
1.2.40;Bocadeli Ilobasco;GRUPO 06;SV Centro;El Salvador;Detalle;Contorno
1.2.41;Bocadeli Quezaltepeque;GRUPO 10 ;SV Centro;El Salvador;Detalle;Foraneo
1.2.42;Bocadeli Quezaltepeque;GRUPO 05;SV Centro;El Salvador;Detalle;Contorno
1.2.43;Bocadeli Chalatenango;GRUPO 08;SV Centro;El Salvador;Detalle;Foraneo
1.2.44;Bocadeli Soyapango;GRUPO 01;SV Centro;El Salvador;Detalle;Foraneo
1.2.45;Bocadeli Ilobasco;GRUPO 06;SV Centro;El Salvador;Detalle;Contorno
1.2.46;Bocadeli Ilobasco;GRUPO 06;SV Centro;El Salvador;Detalle;Contorno
1.8.01;Bocadeli Soyapango;GRUPO 09;SV Centro;El Salvador;Preferencial;Rural
1.8.04;Bocadeli Ilobasco;GRUPO 07;SV Centro;El Salvador;Preferencial;Foraneo
1.8.05;Bocadeli Ilobasco;GRUPO 07;SV Centro;El Salvador;Preferencial;Rural
1.8.06;Bocadeli Soyapango;GRUPO 09;SV Centro;El Salvador;Preferencial;Foraneo
1.8.09;Bocadeli Soyapango;GRUPO 07;SV Centro;El Salvador;Preferencial;Foraneo
1.3.02;Bocadeli Soyapango;GRUPO 11;SV Centro;El Salvador;Mayoreo;Foraneo
1.3.04;Bocadeli Soyapango;GRUPO 11;SV Centro;El Salvador;Mayoreo;Foraneo
1.3.07;Bocadeli Soyapango;GRUPO 11;SV Centro;El Salvador;Mayoreo;Urbano
1.3.08;Bocadeli Soyapango;GRUPO 11;SV Centro;El Salvador;Mayoreo;Foraneo
1.3.09;Bocadeli Soyapango;GRUPO 11;SV Centro;El Salvador;Mayoreo;Urbano
1.4.01;Bocadeli Soyapango;GRUPO 11;SV Centro;El Salvador;Mayoreo;Foraneo
1.4.04;Bocadeli Soyapango;GRUPO 11;SV Centro;El Salvador;Mayoreo;Rural
1.4.05;Bocadeli Soyapango;GRUPO 11;SV Centro;El Salvador;Mayoreo;Foraneo
1.4.06;Bocadeli Soyapango;GRUPO 11;SV Centro;El Salvador;Mayoreo;Rural
1.9.01;Bocadeli Soyapango;GRUPO 12;SV Centro;El Salvador;Supermercados;Foraneo
1.9.02;Bocadeli Soyapango;GRUPO 12;SV Centro;El Salvador;Supermercados;Urbano
1.9.03;Bocadeli Soyapango;GRUPO 12;SV Centro;El Salvador;Supermercados;Sin zona asignada
1.9.04;Bocadeli Soyapango;GRUPO 12;SV Centro;El Salvador;Dedicada;Urbano
1.6.05;Bocadeli Soyapango;N/A;SV Centro;El Salvador;Eventos-Publicidad;Sin zona asignada
3.1.01;Bocadeli Santa Ana;GRUPO 01;SV Occidente;El Salvador;Detalle;Urbano
3.1.02;Bocadeli Santa Ana;GRUPO 03;SV Occidente;El Salvador;Detalle;Foraneo
3.1.03;Bocadeli Santa Ana;GRUPO 03;SV Occidente;El Salvador;Detalle;Urbano
3.1.04;Bocadeli Santa Ana;GRUPO 01;SV Occidente;El Salvador;Detalle;Contorno
3.1.05;Bocadeli Santa Ana;GRUPO 01;SV Occidente;El Salvador;Detalle;Contorno
3.1.06;Bocadeli Santa Ana;GRUPO 01;SV Occidente;El Salvador;Detalle;Urbano
3.1.07;Bocadeli Santa Ana;GRUPO 01;SV Occidente;El Salvador;Detalle;Contorno
3.1.08;Bocadeli Santa Ana;GRUPO 03;SV Occidente;El Salvador;Detalle;Urbano
3.2.01;Bocadeli Santa Ana;GRUPO 02;SV Occidente;El Salvador;Detalle;Foraneo
3.2.02;Bocadeli Santa Ana;GRUPO 01;SV Occidente;El Salvador;Detalle;Contorno
3.2.03;Bocadeli Santa Ana;GRUPO 03;SV Occidente;El Salvador;Detalle;Rural
3.2.04;Bocadeli Santa Ana;GRUPO 03;SV Occidente;El Salvador;Detalle;Rural
3.2.05;Bocadeli Santa Ana;GRUPO 02;SV Occidente;El Salvador;Detalle;Rural
3.2.06;Bocadeli Sonsonate;GRUPO 04;SV Occidente;El Salvador;Detalle;Foraneo
3.2.07;Bocadeli Sonsonate;GRUPO 04;SV Occidente;El Salvador;Detalle;Foraneo
3.2.08;Bocadeli Sonsonate;GRUPO 04;SV Occidente;El Salvador;Detalle;Contorno
3.2.09;Bocadeli Sonsonate;GRUPO 05;SV Occidente;El Salvador;Detalle;Foraneo
3.2.10;Bocadeli Sonsonate;GRUPO 04;SV Occidente;El Salvador;Detalle;Foraneo
3.2.11;Bocadeli Sonsonate;GRUPO 04;SV Occidente;El Salvador;Detalle;Foraneo
3.2.12;Bocadeli Santa Ana;GRUPO 03;SV Occidente;El Salvador;Detalle;Rural
3.2.13;Bocadeli Sonsonate;GRUPO 05;SV Occidente;El Salvador;Detalle;Contorno
3.2.14;Bocadeli Santa Ana;GRUPO 02;SV Occidente;El Salvador;Detalle;Foraneo
3.2.15;Bocadeli Sonsonate;GRUPO 05;SV Occidente;El Salvador;Detalle;Urbano
3.2.16;Bocadeli Sonsonate;GRUPO 04;SV Occidente;El Salvador;Detalle;Foraneo
3.2.17;Bocadeli Santa Ana;GRUPO 01;SV Occidente;El Salvador;Detalle;Urbano
3.2.18;Bocadeli Sonsonate;GRUPO 05;SV Occidente;El Salvador;Detalle;Contorno
3.2.19;Bocadeli Santa Ana;GRUPO 02;SV Occidente;El Salvador;Detalle;Contorno
3.2.20;Bocadeli Santa Ana;GRUPO 02;SV Occidente;El Salvador;Detalle;Foraneo
3.2.21;Bocadeli Sonsonate;GRUPO 05;SV Occidente;El Salvador;Detalle;Foraneo
3.2.22;Bocadeli Santa Ana;GRUPO 03;SV Occidente;El Salvador;Detalle;Foraneo
3.2.23;Bocadeli Santa Ana;GRUPO 02;SV Occidente;El Salvador;Detalle;Foraneo
3.2.24;Bocadeli Santa Ana;GRUPO 03;SV Occidente;El Salvador;Detalle;Rural
3.2.25;Bocadeli Sonsonate;GRUPO 05;SV Occidente;El Salvador;Detalle;Urbano
3.2.26;Bocadeli Sonsonate;GRUPO 05;SV Occidente;El Salvador;Detalle;Foraneo
3.2.27;Bocadeli Sonsonate;GRUPO 04;SV Occidente;El Salvador;Detalle;Foraneo
3.2.28;Bocadeli Santa Ana;GRUPO 02;SV Occidente;El Salvador;Detalle;Foraneo
3.2.29;Bocadeli Santa Ana;GRUPO 01;SV Occidente;El Salvador;Detalle;Contorno
3.2.30;Bocadeli Sonsonate;GRUPO 04;SV Occidente;El Salvador;Detalle;Contorno
3.2.31;Bocadeli Sonsonate;GRUPO 04;SV Occidente;El Salvador;Detalle;Foraneo
3.2.32;Bocadeli Sonsonate;GRUPO 05;SV Occidente;El Salvador;Detalle;Foraneo
3.2.33;Bocadeli Santa Ana;GRUPO 02;SV Occidente;El Salvador;Detalle;Foraneo
3.2.34;Bocadeli Santa Ana;GRUPO 02;SV Occidente;El Salvador;Detalle;Contorno
3.3.08;Bocadeli Santa Ana;GRUPO 06;SV Occidente;El Salvador;Mayoreo;Urbano
3.3.05;Bocadeli Santa Ana;GRUPO 06;SV Occidente;El Salvador;Mayoreo;Urbano
3.9.01;Bocadeli Santa Ana;GRUPO 06;SV Occidente;El Salvador;Dedicada;Urbano
3.3.07;Bocadeli Sonsonate;GRUPO 06;SV Occidente;El Salvador;Mayoreo;Urbano
2.1.01;Bocadeli San Miguel;GRUPO 02;SV Oriente;El Salvador;Detalle;Contorno
2.1.02;Bocadeli San Miguel;GRUPO 01;SV Oriente;El Salvador;Detalle;Contorno
2.1.03;Bocadeli San Miguel;GRUPO 01;SV Oriente;El Salvador;Detalle;Contorno
2.1.04;Bocadeli San Miguel;GRUPO 01;SV Oriente;El Salvador;Detalle;Contorno
2.1.05;Bocadeli San Miguel;GRUPO 02;SV Oriente;El Salvador;Detalle;Contorno
2.1.06;Bocadeli San Miguel;GRUPO 01;SV Oriente;El Salvador;Detalle;Contorno
2.1.07;Bocadeli San Miguel;GRUPO 02;SV Oriente;El Salvador;Detalle;Contorno
2.1.08;Bocadeli San Miguel;GRUPO 01;SV Oriente;El Salvador;Detalle;Urbano
2.1.09;Bocadeli San Miguel;GRUPO 01;SV Oriente;El Salvador;Detalle;Urbano
2.1.10;Bocadeli San Miguel;GRUPO 01;SV Oriente;El Salvador;Detalle;Contorno
2.1.11;Bocadeli San Miguel;GRUPO 01;SV Oriente;El Salvador;Detalle;Urbano
2.2.02;Bocadeli San Miguel;GRUPO 03;SV Oriente;El Salvador;Detalle;Foraneo
2.2.03;Bocadeli San Miguel;GRUPO 02;SV Oriente;El Salvador;Detalle;Foraneo
2.2.04;Bocadeli Usulutan;GRUPO 03;SV Oriente;El Salvador;Detalle;Contorno
2.2.05;Bocadeli Usulutan;GRUPO 03;SV Oriente;El Salvador;Detalle;Foraneo
2.2.06;Bocadeli San Miguel;GRUPO 04;SV Oriente;El Salvador;Detalle;Rural
2.2.08;Bocadeli San Miguel;GRUPO 04;SV Oriente;El Salvador;Detalle;Foraneo
2.2.09;Bocadeli San Miguel;GRUPO 04;SV Oriente;El Salvador;Detalle;Rural
2.2.10;Bocadeli San Miguel;GRUPO 04;SV Oriente;El Salvador;Detalle;Foraneo
2.2.12;Bocadeli Usulutan;GRUPO 03;SV Oriente;El Salvador;Detalle;Rural
2.2.13;Bocadeli San Miguel;GRUPO 04;SV Oriente;El Salvador;Detalle;Rural
2.2.14;Bocadeli Usulutan;GRUPO 03;SV Oriente;El Salvador;Detalle;Contorno
2.2.15;Bocadeli San Miguel;GRUPO 04;SV Oriente;El Salvador;Detalle;Foraneo
2.2.16;Bocadeli Usulutan;GRUPO 03;SV Oriente;El Salvador;Detalle;Foraneo
2.2.17;Bocadeli Usulutan;GRUPO 03;SV Oriente;El Salvador;Detalle;Rural
2.2.18;Bocadeli San Miguel;GRUPO 02;SV Oriente;El Salvador;Detalle;Rural
2.2.19;Bocadeli San Miguel;GRUPO 02;SV Oriente;El Salvador;Detalle;Foraneo
2.2.20;Bocadeli San Miguel;GRUPO 04;SV Oriente;El Salvador;Detalle;Foraneo
2.2.21;Bocadeli San Miguel;GRUPO 02;SV Oriente;El Salvador;Detalle;Rural
2.2.22;Bocadeli Usulutan;GRUPO 03;SV Oriente;El Salvador;Detalle;Foraneo
2.2.23;Bocadeli San Miguel;GRUPO 02;SV Oriente;El Salvador;Detalle;Rural
2.2.24;Bocadeli San Miguel;GRUPO 04;SV Oriente;El Salvador;Detalle;Foraneo
2.2.25;Bocadeli Usulutan;GRUPO 03;SV Oriente;El Salvador;Detalle;Foraneo
2.2.26;Bocadeli Usulutan;GRUPO 03;SV Oriente;El Salvador;Detalle;Foraneo
2.2.27;Bocadeli Usulutan;GRUPO 03;SV Oriente;El Salvador;Detalle;Foraneo
2.2.28;Bocadeli San Miguel;GRUPO 04;SV Oriente;El Salvador;Detalle;Foraneo
2.2.29;Bocadeli San Miguel;GRUPO 02;SV Oriente;El Salvador;Detalle;Rural
2.8.01;Bocadeli San Miguel;GRUPO 02;SV Oriente;El Salvador;Preferencial;Rural
2.8.03;Bocadeli San Miguel;GRUPO 04;SV Oriente;El Salvador;Preferencial;Rural
2.8.05;Bocadeli San Miguel;GRUPO 02;SV Oriente;El Salvador;Preferencial;Rural
2.3.03;Bocadeli San Miguel;GRUPO 05;SV Oriente;El Salvador;Mayoreo;Urbano
2.4.03;Bocadeli San Miguel;GRUPO 05;SV Oriente;El Salvador;Mayoreo;Foraneo
2.4.04;Bocadeli San Miguel;GRUPO 05;SV Oriente;El Salvador;Mayoreo;Foraneo
2.4.06;Bocadeli San Miguel;GRUPO 05;SV Oriente;El Salvador;Mayoreo;Foraneo
2.9.01;Bocadeli San Miguel;GRUPO 05;SV Oriente;El Salvador;Dedicada;Contorno
4.1.38;Bocadeli Karante;GRUPO 12;GT Centro;Guatemala;Detalle;Urbano
4.1.39;Bocadeli Karante;GRUPO 02;GT Centro;Guatemala;Detalle;Contorno
4.1.41;Bocadeli Karante;GRUPO 09;GT Centro;Guatemala;Detalle;Urbano
4.1.42;Bocadeli Karante;GRUPO 07;GT Centro;Guatemala;Detalle;Contorno
4.1.43;Bocadeli Escuintla;GRUPO 10;GT Centro;Guatemala;Detalle;Foraneo
4.1.44;Bocadeli Karante;GRUPO 02;GT Centro;Guatemala;Detalle;Contorno
4.1.45;Bocadeli Karante;GRUPO 03;GT Centro;Guatemala;Detalle;Urbano
4.1.46;Bocadeli Karante;GRUPO 02;GT Centro;Guatemala;Detalle;Urbano
4.1.47;Bocadeli Karante;GRUPO 12;GT Centro;Guatemala;Detalle;Urbano
4.1.48;Bocadeli Karante;GRUPO 09;GT Centro;Guatemala;Detalle;Urbano
4.1.49;Bocadeli Karante;GRUPO 12;GT Centro;Guatemala;Detalle;Foraneo
4.1.50;Bocadeli Karante;GRUPO 12;GT Centro;Guatemala;Detalle;Rural
4.1.52;Bocadeli Karante;GRUPO 02;GT Centro;Guatemala;Detalle;Contorno
4.1.55;Bocadeli Karante;GRUPO 09;GT Centro;Guatemala;Detalle;Urbano
4.1.57;Bocadeli Karante;GRUPO 07;GT Centro;Guatemala;Detalle;Rural
4.1.58;Bocadeli Karante;GRUPO 09;GT Centro;Guatemala;Detalle;Urbano
4.1.59;Bocadeli Karante;GRUPO 12;GT Centro;Guatemala;Detalle;Foraneo
4.1.60;Bocadeli Jutiapa;GRUPO 05;GT Centro;Guatemala;Detalle;Contorno
4.1.61;Bocadeli Chimaltenango;GRUPO 01;GT Centro;Guatemala;Detalle;Foraneo
4.1.62;Bocadeli Jutiapa;GRUPO 05;GT Centro;Guatemala;Detalle;Contorno
4.1.63;Bocadeli Karante;GRUPO 07;GT Centro;Guatemala;Detalle;Rural
4.1.64;Bocadeli Karante;GRUPO 12;GT Centro;Guatemala;Detalle;Contorno
4.1.65;Bocadeli Karante;GRUPO 02;GT Centro;Guatemala;Detalle;Rural
4.1.66;Bocadeli Karante;GRUPO 02;GT Centro;Guatemala;Detalle;Urbano
4.1.67;Bocadeli Jutiapa;GRUPO 05;GT Centro;Guatemala;Detalle;Rural
4.1.68;Bocadeli Chimaltenango;GRUPO 11;GT Centro;Guatemala;Detalle;Contorno
4.1.69;Bocadeli Karante;GRUPO 03;GT Centro;Guatemala;Detalle;Urbano
4.1.70;Bocadeli Karante;GRUPO 12;GT Centro;Guatemala;Detalle;Urbano
4.1.71;Bocadeli Karante;GRUPO 07;GT Centro;Guatemala;Detalle;Contorno
4.1.72;Bocadeli Chimaltenango;GRUPO 01;GT Centro;Guatemala;Detalle;Urbano
4.1.73;Bocadeli Karante;GRUPO 09;GT Centro;Guatemala;Detalle;Urbano
4.1.74;Bocadeli Karante;GRUPO 09;GT Centro;Guatemala;Detalle;Urbano
4.1.75;Bocadeli Karante;GRUPO 02;GT Centro;Guatemala;Detalle;Contorno
4.1.76;Bocadeli Karante;GRUPO 07;GT Centro;Guatemala;Detalle;Rural
4.1.77;Bocadeli Karante;GRUPO 12;GT Centro;Guatemala;Detalle;Rural
4.1.78;Bocadeli Karante;GRUPO 02;GT Centro;Guatemala;Detalle;Contorno
4.1.79;Bocadeli Karante;GRUPO 03;GT Centro;Guatemala;Detalle;Contorno
4.1.80;Bocadeli Karante;GRUPO 09;GT Centro;Guatemala;Detalle;Contorno
4.1.81;Bocadeli Chimaltenango;GRUPO 11;GT Centro;Guatemala;Detalle;Rural
4.1.82;Bocadeli Chimaltenango;GRUPO 01;GT Centro;Guatemala;Detalle;Foraneo
4.1.83;Bocadeli Chimaltenango;GRUPO 01;GT Centro;Guatemala;Detalle;Foraneo
4.1.84;Bocadeli Chimaltenango;GRUPO 11;GT Centro;Guatemala;Detalle;Urbano
4.1.85;Bocadeli Chimaltenango;GRUPO 01;GT Centro;Guatemala;Detalle;Urbano
4.1.86;Bocadeli Chimaltenango;GRUPO 11;GT Centro;Guatemala;Detalle;Contorno
4.1.87;Bocadeli Chimaltenango;GRUPO 01;GT Centro;Guatemala;Detalle;Contorno
4.1.88;Bocadeli Chimaltenango;GRUPO 01;GT Centro;Guatemala;Detalle;Contorno
4.1.89;Bocadeli Chimaltenango;GRUPO 01;GT Centro;Guatemala;Detalle;Contorno
4.1.90;Bocadeli Karante;GRUPO 07;GT Centro;Guatemala;Detalle;Urbano
4.1.91;Bocadeli Karante;GRUPO 02;GT Centro;Guatemala;Detalle;Urbano
4.1.92;Bocadeli Chimaltenango;GRUPO 11;GT Centro;Guatemala;Detalle;Urbano
4.1.93;Bocadeli Chimaltenango;GRUPO 11;GT Centro;Guatemala;Detalle;Contorno
4.1.94;Bocadeli Karante;GRUPO 07;GT Centro;Guatemala;Detalle;Foraneo
4.1.95;Bocadeli Karante;GRUPO 03;GT Centro;Guatemala;Detalle;Urbano
4.1.96;Bocadeli Karante;GRUPO 07;GT Centro;Guatemala;Detalle;Foraneo
4.1.97;Bocadeli Karante;GRUPO 02;GT Centro;Guatemala;Detalle;Sin zona asignada
4.2.07;Bocadeli Escuintla;GRUPO 06;GT Centro;Guatemala;Detalle;Foraneo
4.2.11;Bocadeli Escuintla;GRUPO 06;GT Centro;Guatemala;Detalle;Foraneo
4.2.13;Bocadeli Escuintla;GRUPO 10;GT Centro;Guatemala;Detalle;Rural
4.2.14;Bocadeli Escuintla;GRUPO 06;GT Centro;Guatemala;Detalle;Foraneo
4.2.18;Bocadeli Escuintla;GRUPO 10;GT Centro;Guatemala;Detalle;Contorno
4.2.55;Bocadeli Escuintla;GRUPO 10;GT Centro;Guatemala;Detalle;Foraneo
4.2.56;Bocadeli Escuintla;GRUPO 10;GT Centro;Guatemala;Detalle;Urbano
4.2.57;Bocadeli Escuintla;GRUPO 10;GT Centro;Guatemala;Detalle;Foraneo
4.2.58;Bocadeli Escuintla;GRUPO 06;GT Centro;Guatemala;Detalle;Contorno
4.2.59;Bocadeli Escuintla;GRUPO 10;GT Centro;Guatemala;Detalle;Foraneo
4.2.60;Bocadeli Jutiapa;GRUPO 08;GT Centro;Guatemala;Detalle;Contorno
4.2.61;Bocadeli Jutiapa;GRUPO 08;GT Centro;Guatemala;Detalle;Rural
4.2.62;Bocadeli Escuintla;GRUPO 10;GT Centro;Guatemala;Detalle;Foraneo
4.2.63;Bocadeli Jutiapa;GRUPO 08;GT Centro;Guatemala;Detalle;Contorno
4.2.64;Bocadeli Escuintla;GRUPO 10;GT Centro;Guatemala;Detalle;Foraneo
4.2.65;Bocadeli Jutiapa;GRUPO 05;GT Centro;Guatemala;Detalle;Rural
4.2.66;Bocadeli Escuintla;GRUPO 06;GT Centro;Guatemala;Detalle;Foraneo
4.2.67;Bocadeli Jutiapa;GRUPO 08;GT Centro;Guatemala;Detalle;Rural
4.2.68;Bocadeli Chimaltenango;GRUPO 11;GT Centro;Guatemala;Detalle;Foraneo
4.2.69;Bocadeli Jutiapa;GRUPO 08;GT Centro;Guatemala;Detalle;Contorno
4.2.70;Bocadeli Escuintla;GRUPO 10;GT Centro;Guatemala;Detalle;Contorno
4.2.71;Bocadeli Jutiapa;GRUPO 13;GT Centro;Guatemala;Detalle;Rural
4.2.72;Bocadeli Jutiapa;GRUPO 13;GT Centro;Guatemala;Detalle;Rural
